coutry_tag;header;body;class
IT;Note of the Ministry of Foreign Affairs - Clashes along the line of contact Armenia-Azerbaijan;We express concern over reports of serious clashes along the line of contact between the Azerbaijani and Armenian armed forces.Italy calls on the parties to stop the violence immediately and to make every effort to prevent the risks of further escalation, particularly under the auspices of the OSCE.;N
IT;The mission of Deputy Minister Di Stefano in the Caucasus;Today, the Deputy Minister of Foreign Affairs and International Cooperation, Manlio Di Stefano, begins his mission in the Caucasus visiting Jerevan and Baku's cities. It is the Italian Government's first mission in the region after the end of the conflict between Armenia and Azerbaijan. The mission includes meetings at a high political level. It will allow continuing Rome's political, economic, commercial, and cultural dialogue with the two Caucasian capitals.;N
IT;Nagorno-Karabakh, contribution of Italian Cooperation.;In response to the humanitarian emergency caused by the escalation of hostilities in the Nagorno-Karabakh region, the Italian Cooperation system, at the instigation of the Vice Minister of Foreign Affairs and International Cooperation, Emanuela Del Re, has contributed 500,000 euros to the International Committee of the Red Cross (ICRC).Thanks to the Italian contribution, the ICRC will be able to strengthen its activities in providing essential humanitarian services, such as food and shelter, to the more than 75,000 displaced persons affected by the conflict, on both sides of the line of contact, and in collaboration with both the Armenian Red Cross and the Azerbaijani Red Crescent.;N
IT;Ceasefire in Nagorno Karabakh;taly welcomes with relief the ceasefire in Nagorno Karabakh, reached by means of a tripartite declaration signed by Azerbaijan, Armenia, and the Russian Federation, and hopes that it will be fully respected. We also take note of the other agreements reached between the parties, in the hope that they can open the way for the entire area to be stabilised and enjoy peace. In this regard, Italy wishes to highlight the importance of respecting the identity of each community, as well as the cultural and religious diversity of the area, as a prerequisite for intra-regional reconciliation. As a member of the Minsk Group, Italy guarantees its full support for the co-Chairpersons, with a view to consolidation of the ceasefire, an essential precondition for a lasting solution to the conflict. Italy will also play its part in the context of the EU, in the stabilisation and growth of the region that, besides other things, is an important hub for connectivity and energy supplies for Europe and for our own Country.;N
IT;Note of the Ministry of Foreign Affairs - Nagorno Karabakh;taly welcomes the renewed humanitarian truce agreed between Armenia and Azerbaijan over the weekend with the mediation of France in its capacity as co-chair of the Minsk Group and calls on the parties to respect their commitments, putting an end to any breach of the agreement.We express our condolences for the many civilian casualties. We strongly condemn the attacks on Ganja, as well as the indiscriminate bombing of populated areas on both sides, particularly in Stepanakert/Khankendi.We, therefore, join with the appeals of the UN Secretary-General and the international community for full respect of international humanitarian law on both sides, to put an end to any further suffering to their respective populations already sorely tried by many years of conflict.We also renew our strong hope that Armenia and Azerbaijan will once again engage in a constructive dialogue, within the negotiating framework of the Minsk Group. We strongly support the efforts made by its Co-Presidents to this end.;N
KZ;The Nagorno-Karabakh region of Azerbaijan has been saved;In today's program we will focus on the victory of Azerbaijan over Nagorno-Karabakh.Heavy clashes broke out in Nagorno-Karabakh on September 27, 2020 due to the Armenian attack. After the capture of Shusha by the Azerbaijani army, Armenia was forced to accept the defeat and sign a ceasefire agreement. The tripartite agreement with Russia was signed on November 10, 2020.During the 44-day war, the Azerbaijani army rescued 7 occupied territories and 7 villages, including Shusha. The status of Nagorno-Karabakh will be clarified later. According to the agreement, Aghdam region will be liberated on November 20, Kelbezer on November 25, and Lachin on December 1. Displaced immigrants return to their homes in Nagorno-Karabakh and surrounding areas under the auspices of the UN High Commissioner for Migration.According to Article 3 of the agreement, a total of 1,960 troops and more than 450 Russian peacekeepers are stationed on the front line in Nagorno-Karabakh and along the Lachin Corridor. The Russian peacekeeping force has been in the region for five years. Turkish and Russian Defense Ministers have signed an agreement on the establishment of Turkish-Russian monitoring centers to monitor the ceasefire.Article 9 of this agreement provides for the opening of a corridor connecting the Nakhchivan Autonomous Republic to Azerbaijan. Thus, Turkey is connected with Azerbaijan and the Central Asian region by land. Once the Kars-Igdyr-Nakhichevan railway project is completed, the next step will be the construction of a railway connecting Nakhichevan to Baku.After the agreement, Armenia was in turmoil. Protesters in Yerevan are demanding the resignation of Prime Minister Nikol Pashinyan. Security and surveillance forces also jailed the opposition on suspicion of plotting a coup.During the war, more than 100 civilians were killed in Azerbaijan due to Armenian attacks. Armenia has attacked civilians and committed war and inhumane crimes.The burning and destruction of houses, schools and forests by Armenians fleeing the occupied territories in accordance with the agreement showed that they did not accept this land as their homeland. On the contrary, when Azerbaijanis were expelled from the region in 1994, they believed that one day they would return home with the keys to their homes. Azerbaijani President Ilham Aliyev has said that Armenia should pay for the damage it has done to the occupied territories.The Prosecutor General's Office of Azerbaijan has launched an investigation into members of the PKK / PYD / YPG terrorist organization who came to Nagorno-Karabakh from Syria, Lebanon and Iraq to fight the Azerbaijani army. The dreams of the imperialist powers to turn Karabakh into a hotbed of terror have come to naught. At the end of the war, it became clear that the main power in the region was Turkey and Russia, and that Western countries had lost their old forces in the region.The victory of Nagorno-Karabakh glorified the faith of the Turkic world. In time, other Turkish territories will be liberated. Attempts to unite the Turkic world will accelerate from now on.;A
KZ;Kazakh Foreign Ministry makes official statement on Nagorno-Karabakh conflict;The 2020 Nagorno-Karabakh ceasefire agreement has been signed. Kazakh Foreign Ministry made a statement on the Nagorno-Karabakh peace deal, stating that Kazakhstan highly appreciates the agreements reached between Armenia and Azerbaijan. They correspond to the resolutions of the UN Security Council and can serve as the basis for resolving the problem in the area.“We particularly note the constructive role of the Russian Federation in reaching this agreement and its peacemaking efforts aimed at practical implementation of the agreements. We express our hope that, in this difficult period, Azerbaijani and Armenian peoples will strive to build a solid foundation for establishing lasting peace and harmony and ensuring security in the region,” said the official statement.In a joint statement announced by President of Russia Vladimir Putin, it is reported that the parties agreed on a complete ceasefire and cessation of hostilities from November 10, 2020.Armenia and Azerbaijan stopped at their occupied positions, while Russian peacekeepers were brought to Nagorno-Karabakh to bolster truce.;N
KZ;Kazakh, Azerbaijani parliaments discuss situation in Nagorno-Karabakh;Majilis Speaker of Kazakhstan Nurlan Nigmatulin has held talks with Speaker of the Milli Majilis (National Assembly) of Azerbaijan Sahiba Gafarova at the initiative of the Azerbaijani side, Kazinform has learnt from the Majilis’ press service.During the telephone talk, the sides mainly focused on the escalation of the Armenian-Azerbaijani conflict in Nagorno-Karabakh. Speaker Nigmatulin told his Azerbaijani counterpart about Kazakhstan’s position outlined in the statement of the Foreign Affairs Ministry of the Republic of Kazakhstan calling the countries to resolve the conflict through peaceful negotiations. Additionally, the sides touched upon the issues of strengthening of inter-parliamentary cooperation. Earlier it was reported that on September 27 both Azerbaijan and Armenia had announced the escalation of the situation in Nagorno-Karabakh. Both countries declared the martial law.;N
KZ;Tokayev Addresses CSTO Council Meeting, Praises Russian Peace Deal With Armenia and Azerbaijan;Kazakh President Kassym-Jomart Tokayev participated in the Collective Security Treaty Organization (CSTO) Council meeting that gathered Dec. 2 via videoconference, reported Akorda press service.The Collective Security Treaty was signed May 15, 1992 in Tashkent, Uzbekistan by the heads of Armenia, Kazakhstan, Kyrgyzstan, Russia, Tajikistan and Uzbekistan, In 1993, it was joined by Azerbaijan, Belarus and Georgia and in 1994, the treaty evolved to become a fully-fledged international organization. Currently, it consists of six members –  Armenia, Belarus Kazakhstan, Kyrgyzstan, Russia, and TajikistanThe CSTO virtual meeting was attended by Alexander Lukashenko of Belarus, Vladimir Putin of Russia, Emomali Rahmon of Tajikistan, acting President of Kyrgyzstan Talant Mamytov and Prime Minister of Armenia Nikol Pashinyan as well as CSTO Secretary General Stanislav Zas. CSTO heads of states discussed international and regional security issues, summed up the work in the CSTO priority areas this year and outlined future plans. Russia transferred the chairmanship in the organization to Tajikistan for 2021. The leaders also focused on practical measures to counteract current challenges and threats, combat terrorism, drug trafficking, and cybersecurity risks.Addressing the meeting, Tokayev expressed his gratitude to Russian President Vladimir Putin, who chaired the session, for the organization of the council meeting. In his remarks on regional and global security, Tokayev noted the escalating tensions between states and commended Russia’s role as a mediator in the Nagorno Karabakh conflict.“I believe the agreement reached with the participation of Russia is the only right solution in this critical situation and this agreement will contribute to long-term peace in the region. This is indeed a historic agreement,” he said. The continuing turmoil in global politics and the economy caused by the coronavirus pandemic is exacerbated by mutual sanctions, restrictions and trade wars, said Tokayev. “The growth of new global challenges and threats related to extremism and terrorism, drug trafficking, cybersecurity and illegal migration, remains a concern. Under these conditions, the role of the CSTO is growing as an effective mechanism of interstate cooperation to strengthen peace, security and stability in the vast region,” said Akorda press service. During the meeting, Tokayev proposed creating a new position within the CSTO – Special Representative of CSTO Secretary General on Peacebuilding. Kazakhstan’s participation in the CSTO, he noted, is a top priority in the country’s foreign policy. “I am glad that the CSTO has increased its presence in international politics and plays a crucial role in ensuring security on a large part of the Eurasian continent. We are ready, as previously, to actively cooperate with our partners to seek effective solutions to ensure peace, security, and prosperity of our people,” he said.Upon the end of the meeting, the CSTO leaders adopted the Declaration of the Collective Security Council and the Statement on the formation of just and sustainable world order as well as 15 other documents, including a military cooperation agreement for 2021-2025, civil service training, and on the organization’s budget plan. The documents adopted at the session are aimed at further strengthening the CSTO activities, and demonstrate the openness of the organization towards expanding cooperation with other countries and international organizations.;N
LI;Protesters demand an immediate end to the war;They demand the recognition of the Artsakh Republic (Nagorno-Karabakh) and the condemnation of the war crimes committed. The armed conflict in the South Caucasus is being driven by authoritarian regimes.;N
LI;Nagorno-Karabakh: Azerbaijan takes control of another region;Azerbaijan has taken control of another area in the Nagorno-Karabakh conflict region from Armenia. The return of the Lachin region is a historic event, said President Ilham Aliyev in a speech in the capital Baku on Tuesday.;A
LI;Experts: Salvaging war ammunition in Nagorno-Karabakh takes years;After the end of the fighting over the conflict region Nagorno-Karabakh in the South Caucasus, experts are warning of the danger of mines and unexploded rockets and grenades.;N
LI;Fire break in the disputed Nagorno-Karabakh region;In the embattled Caucasus region of Nagorno-Karabakh, a ceasefire is to apply from Saturday afternoon (10.10.2020).Armenia and Azerbaijan have agreed on this, according to a statement by the Russian government. She had brokered the truce.The ceasefire should be used to hand over prisoners of war and dead soldiers. Further details of the ceasefire have yet to be negotiated.The territorial disputes between Armenia and Azerbaijan have left hundreds of deaths in the embattled Caucasus region of Nagorno-Karabakh.;N
LI;State of war after fighting for Nagorno-Karabakh;After heavy fighting with numerous dead and injured in the conflict region Nagorno-Karabakh, the warring neighboring countries Armenia and Azerbaijan are now at war. In Azerbaijan, this came into force on Monday night, as President Ilham Aliyev decided on the weekend. In the ex-Soviet republic there are supposed to be curfews in some parts of the country.In Armenia, Prime Minister Nikol Pashinyan mobilized the population in Yerevan on Sunday and declared a state of war throughout the country. Azerbaijan had previously started a military operation against Nagorno-Karabakh and captured several villages.;N
LT;Aliyev: Nagorno-Karabakh will not have any special status;"There can be no talk of any status. There is a united Azerbaijan - a multi-ethnic, multi-denominational country, he said on Monday during a visit to the districts of Fizul and Jebrail, whose control passed to Azerbaijan. Images of his trip were shown on state television on Tuesday.According to Aliyev, Armenians living in the region will be granted the same rights as other Azerbaijani citizens.""All citizens of Azerbaijan, representing different nations and religions, live in conditions of peace and good neighborliness.The Armenian people will also live in these conditions, ""said the Azerbaijani leader.He added that Baku considers the Armenians of Karabakh to be its citizens.The situation in Nagorno-Karabakh was complicated on 27 September, when active fighting broke out in the disputed area.November 9 Russian President Vladimir Putin, Azerbaijani President Ilham Aliyev and Armenian Prime Minister Nikol Pashinian have signed a joint statement on a complete cessation of hostilities in Nagorno-Karabakh.The Armenian-Azerbaijani conflict over Nagorno-Karabakh began in February 1988, when the Armenian Nagorno-Karabakh Autonomous Region declared its withdrawal from the Azerbaijani SSR.In September 1991, the establishment of the Nagorno-Karabakh Republic was announced at the Autonomous Administrative Center of Stepanakert.In the wake of the military conflict, Azerbaijan lost control of Nagorno-Karabakh.";A
LT;He is accused of shooting villages;"Azerbaijan accused Armenia of shooting its units across the state border at night on Monday. This was reported by the Ministry of Defense of Azerbaijan. Armenia, meanwhile, accuses Azerbaijan of shooting at Stepanakert, the main city of separatist Nagorno-Karabakh.""Armenia has violated the ceasefire regime,"" the agency said in a statement. ""Armenian armed forces have fired firearms and small arms again at Azerbaijan's army across the state border.""According to the report's authors, Armenian forces, which had suffered losses of manpower and military equipment in some sections of the front, were forced to retreat. Military operations continue on Monday morning, and the operational situation is controlled by the Azerbaijani army.Meanwhile, the Information Center under the Armenian Cabinet, citing Nagorno-Karabakh officials, announced that the Azerbaijani armed forces fired cluster munitions at the unrecognized Nagorno-Karabakh capital on Monday night.“The night in the settlements, except for Stepanakert, was relatively quiet. The enemy fired long-range cluster missiles at Stepanakert several times after midnight, and civilian infrastructure was damaged, ""the report said.Armenian Prime Minister: The fight for the important Nagorno-Karabakh city continuesArmenian Prime Minister Nikol Pashinian said on Monday that fighting over the important Nagorno-Karabakh city of Sushi continues, although the day before Azerbaijan announced that its forces had occupied the city.If Shusha really went to Azerbaijan, it would be an important victory achieved six weeks after the start of new fighting over Nagorno-Karabakh.However, Pasinyan wrote on the social network Facebook that ""the struggle for Shushi continues"", using the Armenian name of the city.Vachram Poghosian, a spokesman for the Armenian-backed separatist leader of Nagorno-Karabakh, an ethnic Armenian enclave that separated from Azerbaijan in the 1990s, wrote earlier on Facebook that Armenian forces had lost control of Shushah.Located at the epicenter of the battle, the city of strategic importance is about 15 km from the enclave’s largest city, Stepanakert, and near the main road connecting with Armenia.""We have to admit that we are still haunted by a chain of failures and that we have no control over the city of Shushi,"" Poghosian said. ""The enemy is on the outskirts of Stepanakert and the capital's existence is already in danger.""This record of a major defeat provoked speculation that Mr Poghosiano's account may have been hacked, but several Armenian media quoted him as saying that he had indeed published such a record.Azerbaijani President Ilham Aliyev announced on Sunday that his forces had captured Shush, the second largest city in Nagorno-Karabakh.";A
LT;Nagorno - Karabakh conflict. Azerbaijan has occupied an important city, the road to the regional capital is open;"Nagorno-Karabakh has admitted to losing control of the strategically important city of Shush. The city is no longer controlled by Nagorno-Karabakh, Vagram Pogosian, a spokesman for the regional leadership, said on Monday.As early as Sunday, Azerbaijani President Ilham Aliyev announced that his forces had recaptured the city. Armenia and Nagorno-Karabakh initially denied this.Shusha is considered to be the most important city. The authorities in Nagorno-Karabakh themselves have announced that its loss will ultimately mean a defeat in the fight for the whole region.Nagorno-Karabakh leadership has also acknowledged that Azerbaijani units are located near the capital, Stepanakert.Aliyev said victory in the conflict with Armenia was imminent. He also announced on Monday that Azerbaijani forces had taken control of 23 more locations. Representative of the Nagorno-Karabakh leadership, V. Pogosian, wrote on Facebook: “Unfortunately, we are haunted by failures. We have completely lost control of the city of Šuša. The enemy stands at Stepanakert. Now our existence is in danger. """;A
LT;Almost 30 years later, history repeats itself: only this time the Armenians leave home;After more than a month of bloody war in Nagorno-Karabakh, the news is unexpected: Azerbaijan and Armenia have decided to lay down their arms through Vladimir Putin. Thousands of Moscow peacekeepers are being brought into the region to ensure that the disputed territories now ruled by Armenia are handed over to Azerbaijan. While Baku rejoices in winning the war, thousands of angry Armenians stormed the country’s parliament in Yerevan, accusing the country’s government of treason.;A
LT;Nagorno-Karabakh declares it has lost control of the strategically important city of Shush;"The Nagorno-Karabakh region of the South Caucasus has admitted to losing control of the strategically important city of Shush. The city is no longer controlled by Nagorno-Karabakh, Vagram Pogosian, a spokesman for the regional leadership, said on Monday.As early as Sunday, Azerbaijani President Ilham Aliyev announced that his forces had recaptured the city. Armenia and Nagorno-Karabakh initially denied this. Shusha is considered to be the most important city. The authorities in Nagorno-Karabakh themselves have announced that its loss will ultimately mean a defeat in the fight for the whole region. Nagorno-Karabakh leadership has also acknowledged that Azerbaijani units are located near the capital, Stepanakert. Aliyev said victory in the conflict with Armenia was imminent. He also announced on Monday that Azerbaijani forces had taken control of 23 more locations. V. Pogosian, a spokesman for the Nagorno-Karabakh leadership, wrote on Facebook: “Unfortunately, we are haunted by failures. We have completely lost control of the city of Šuša. The enemy stands at Stepanakert. Now our existence is in danger. ""Armenian prime minister: fighting over city continues Armenian prime minister Nicholas Pashian said on Monday that fighting over the important Nagorno-Karabakh city of Shushah continues, although Azerbaijan announced the day before that its forces had occupied the city.If Shusha really went to Azerbaijan, it would be an important victory achieved six weeks after the start of new fighting over Nagorno-Karabakh. However, Pasinyan wrote on the social network Facebook that ""the struggle for Shushi continues"", using the Armenian name of the city. Vachram Poghosian, a spokesman for the Armenian-backed separatist leader of Nagorno-Karabakh, an ethnic Armenian enclave that separated from Azerbaijan in the 1990s, wrote earlier on Facebook that Armenian forces had lost control of Shushah. Located at the epicenter of the battle, the city of strategic importance is about 15 km from the enclave’s largest city, Stepanakert, and near the main road connecting with Armenia. ""We have to admit that we are still haunted by a chain of failures and that we have no control over the city of Shushi,"" Poghosian said. ""The enemy is on the outskirts of Stepanakert, and the capital's existence is already in jeopardy.""";A
LU;Deal to end fighting between Armenia, Azerbaijan;Armenian Prime Minister Nikol Pashinyan said he’s signed an agreement to end the war over Nagorno-Karabakh, just days after Azerbaijani forces captured a key strategic city in the contested region.“I made that decision as a result of a deep analysis of the military situation,” he wrote in a Facebook post early Tuesday, calling it “an extremely difficult decision.”“It’s not a victory,” he wrote. “But there’s no defeat unless you consider yourself to be the loser.”The deal was signed with the leaders of Russia and Azerbaijan and takes effect immediately. Russian President Vladimir Putin said the agreement would be the basis for long-term stability in the war-torn region and called for the deployment of peacekeepers, adding that Azerbaijani and Armenian troops will halt at their current positions, according to a Kremlin statement.Russia’s Defense Ministry said it’s deploying almost 2,000 peacekeepers and 90 armored personnel carriers to Nagorno-Karabakh following the accord to halt the war, the Interfax news service reported early Tuesday.Turkish forces will also be deployed in Nagorno-Karabakh as peacekeepers, Azerbaijani President Ilham Aliyev said in an address to the nation, the Tass news service reported.The agreement reached by the three leaders doesn’t mention Turkish peacekeepers, however. It sets out a timetable for Armenian withdrawal from occupied Azerbaijani districts outside Nagorno-Karabakh in stages by Dec. 1, and guarantees a transport corridor linking the enclave to Armenia, protected by Russian troops, according to Russia’s state-run Sputnik news service.Hundreds of protesters took to the streets of the Armenian capital, Yerevan, after Pashinyan’s announcement. Demonstrators broke into the parliament and others gathered outside the govenrment building and the prime minister’s house, according to Interfax.The two sides have been fighting for more than six weeks over the enclave and surrounding regions, which are internationally recognized as part of Azerbaijan but were taken by Armenia in a bloody war in the early 1990s. More than 5,000 people have been killed in the latest round of fighting, according to Russian officials.Azerbaijani AdvanceAliyev, backed by Turkey, vowed to retake the territory and on Sunday announced that his forces had retaken the key city of Shusha, known as Shushi in Armenian, a strategic highland above Stepanakert, Nagorno-Karabakh’s capital. The government there, backed by Armenia, had warned that the loss of Shushi would lead to the fall of the entire region.“We have won this victory on the battlefield, not at the negotiating table,” Aliyev said in a televised speech on Sunday. “I have said many times that, despite all the statements, there are military solutions to this conflict.”Late Monday, Baku apologized for shooting down a Russian military helicopter over Armenia, killing two. Russia’s Foreign Ministry welcomed the speedy apology and called for a full investigation. Moscow has a military base in Armenia and the two countries have a mutual-defense pact, but Russia also has close relations with Azerbaijan.Prior to the fighting that erupted Sept. 27, Armenian forces controlled Nagorno-Karabakh and seven surrounding districts of Azerbaijan as a buffer zone. A Russia-brokered truce in 1994 halted a war that had killed 30,000 and displaced 1 million amid the collapse of the Soviet Union. International mediators led by France, Russia and the U.S. have tried without success for nearly three decades to negotiate a peace deal.Azerbaijan says it’s fighting to restore control over its internationally recognized territory. Armenia says it’s defending Nagorno-Karabakh’s right to self-determination after its Armenian majority voted for independence.Three attempts by Russia, France and the U.S. since Oct. 10 to restore a cease-fire failed to take hold. In contrast to previous outbreaks of fighting, Russia has struggled to rein in the warring sides in its former Soviet backyard, partly because of active support given to Aliyev’s military campaign from Turkish President Recep Tayyip Erdogan.;A
LU;Fighting erupts between Azeris, Armenians over disputed land;"Fierce fighting involving tanks, aircraft and artillery broke out between Azerbaijan and Armenian forces Sunday in the latest flare-up of a decades-long conflict over disputed land.Azerbaijan's Defense Ministry said it launched a ""counterattack"" after accusing Armenians of firing on its military positions and on civilian settlements near the territory of Nagorno-Karabakh. Armenia said Azerbaijan started bombarding along the contact line separating the two forces and shelled civilians including in the region's capital, Stepanakert.Armenian Prime Minister Nikol Pashinyan declared martial law and ordered a general mobilisation, after accusing Azerbaijan of ""pre-planned aggression."" Azeri President Ilham Aliyev said in a state TV address that: ""We'll win as our cause is just.""Conflict over Nagorno-Karabakh has broken out repeatedly since Armenians took control of the territory and seven surrounding districts from Azerbaijan in a war after the Soviet Union collapsed in 1991. Hundreds were killed in a five-day war in 2016 before Russia pressured both sides to resume a cease-fire that was first brokered in 1994. Despite decades of mediation by the US, France and Russia, no peace agreement has been signed.Russia called on both sides to halt fighting immediately and to return to negotiations to ease tensions, the Foreign Ministry in Moscow said in a statement.Turkey will stand by its ally Azerbaijan ""with all our means until the end,"" Turkish Defence Minister Hulusi Akar said in a statement, without elaborating.Turkish Foreign Minister Mevlut Cavusoglu spoke to his Russian counterpart Sergei Lavrov about the conflict, according to a statement from the Foreign Ministry in Ankara.The Azeri army is using tanks, artillery, missile systems and aircraft against Armenian positions near the front line and deeper into Armenian-held territory, the Defence Ministry in Baku said in a website statement. As many as 12 Armenian anti-aircraft systems have been destroyed and one Azeri helicopter was shot down, it said.Armenian forces hit two Azeri helicopters, three tanks and 14 drones, Armenian Defense Ministry spokeswoman Shushan Stepanyan said.Civilians in Nagorno-Karabakh have been urged to go into shelters after Azerbaijan shelled Stepanakert, according to Vahram Poghosyan, presidential spokesman in the unrecognized republic. ""Our response will be proportional, and full responsibility is on the military-political leadership of Azerbaijan,"" he said.About 10 Armenian serviceman have been killed in the fighting, said Samvel Babayan, secretary of the Nagorno-Karabakh Security Council, according to Radio Liberty.The conflict comes after tensions between the two sides rose sharply last week, when Aliyev alleged that Armenia was massing forces near Nagorno-Karabakh for a new war. Armenia dismissed the claim as groundless and accused Aliyev of preparing for a war.As the fighting raged, Facebook and other social media appeared blocked in Azerbaijan and internet access was slow in some areas.""Armenia is occupying our territory,"" Aliyev said in his speech. “We'll put an end to this occupation.""";A
LU;Azeris, Armenians plunge into war over land disputed for decades;"Azerbaijan and Armenian forces engaged in fierce clashes Sunday when a decades-long conflict over disputed land erupted into renewed war involving tanks, artillery and aircraft.Russia and international organizations including NATO, the European Union and the OSCE called on both sides to halt fighting over the territory of Nagorno-Karabakh. Turkey backed its ally Azerbaijan and said it was ready to offer assistance.Armenian Prime Minister Nikol Pashinyan declared martial law and ordered a general mobilization, after accusing Azerbaijan of ""pre-planned aggression."" Azeri President Ilham Aliyev, who also announced martial law, said in a state TV address that Armenian forces were occupying Azerbaijan’s territory and ""we'll put an end to this occupation.""Conflict over Nagorno-Karabakh has broken out repeatedly since Armenians took control of the territory and seven surrounding districts from Azerbaijan in a war after the Soviet Union collapsed in 1991. Hundreds were killed in a five-day war in 2016 before Russia pressured both sides to resume a cease-fire that was first brokered in 1994. Clashes also erupted across Armenia and Azerbaijan’s international border in the Tavush and Tovuz regions in July.Despite decades of mediation by the US, France and Russia, no peace agreement has been signed. Armenia says the right of the internationally unrecognized Nagorno-Karabakh Republic to self-determination should be respected, while Azerbaijan says its territorial integrity must be upheld.This time, Azerbaijan said it began a ""counterattack"" after accusing Armenians of firing on its military positions and civilian settlements near Nagorno-Karabakh. Armenia said Azerbaijan started bombarding along the contact line separating the two forces and shelled civilians including in the region’s capital, Stepanakert.Russia, TurkeyThe confrontation has the potential to drag in larger powers. Russia has a mutual-defense pact with Armenia and a military base in the republic. Azerbaijan hosted large-scale joint military exercises with Turkish forces last month.Russian President Vladimir Putin expressed ""serious concern about the renewal of large-scale military conflict"" and called for a halt to fighting in a phone call with Pashinyan, according to a Kremlin statement.Armenia should ""seriously discuss"" recognition of Nagorno-Karabakh’s independence as a response to the renewed conflict, Pashinyan told lawmakers in parliament.While it provides military and financial support to Nagorno-Karabakh, Armenia has held back from recognising the territory's independence through decades of talks led by the Organization for Security and Cooperation in Europe to try to negotiate a settlement of the conflict.Russian Foreign Minister Sergei Lavrov discussed the fighting with his Turkish counterpart Mevlut Cavusoglu, the Foreign Ministry in Moscow said in a statement. Lavrov also spoke separately by phone with the Armenian and Azeri foreign ministers, emphasizing the need for an immediate cease-fire, the ministry said.""Turkey stands by its Azeri brothers with all its means,"" Turkish President Recep Tayyip Erdogan said on Twitter after he spoke with Aliyev.NATO 'concerned'The OSCE called for a cease-fire and the resumption of negotiations. The North Atlantic Treaty Organisation said it was ""deeply concerned"" by the fighting in a statement.Pope Francis also called on the leaders of Armenia and Azerbaijan to resolve the crisis ""not through the use of force and arms but through the means of dialogue and negotiation"" in an address from the Vatican Sunday.The Azeri army is using tanks, artillery, missile systems and aircraft against Armenian positions near the front line and deeper into Armenian-held territory, the Defense Ministry in Baku said in a website statement. As many as 12 Armenian anti-aircraft systems have been destroyed and one Azeri helicopter was shot down, it said.Armenian forces hit four Azeri helicopters, 10 tanks and about 15 drones, Armenian Defense Ministry spokeswoman Shushan Stepanyan said.At least 16 Armenian serviceman have died and more than 100 were wounded in the fighting, Nagorno-Karabakh Deputy Defense Minister Artur Sargsyan said in a livestream broadcast.The conflict comes after tensions between the two sides rose sharply last week, when Aliyev alleged that Armenia was massing forces near Nagorno-Karabakh for a new war. Armenia dismissed the claim as groundless and accused Aliyev of preparing for a war.The fighting ""is a war against our independence, freedom and dignity,"" Pashinyan said in a televised address to the nation. ""The Armenian people are ready for that war.""Azeri forces are ""fighting on our soil, and have no claim to anyone's land,” Aliyev said in his speech. ""We'll win because our cause is just.""";N
LU;Protesters draw attention to heavy fighting in Caucasus;"Armenians and their sympathisers gathered in Luxembourg City on Tuesday to protest against the war in the disputed Caucasus mountain region of Nagorno-Karabakh, which has flared up in the past weeks.About 70 people met in the Place d'Armes, speaking out against Turkey's role in the fighting over the enclave inside Azerbaijan, which is inhabited by Armenians, and which the two countries have been at loggerheads over for more than three decades.The latest hostilities, the worst since Nagorno-Karabakh broke away from Baku, have also heightened tensions between Russia and Turkey, as Istanbul openly supports Azerbaijan's attempt to reclaim its territory.Over the weekend, Armenian forces bombarded Azerbaijan's second city, Ganja, in retaliation for attacks on Stepanakert, the capital of Nagorno-Karabakh, which has been hit by shelling for over a week. The two sides have accused each other of using cluster munition, which is banned by international treaties, and at least 240 people have so far been killed - although the actual death toll including civilians may be much higher.Last week France, Russia and the US, members of the Minsk group that has overseen peacemaking attempts since 1992, called for an immediate ceasefire. The Armenian government said it was willing to engage in talks, but Ilham Aliyev, the Azerbaijani president, said Armenian forces had to withdraw before a dialogue could begin.Moscow and Ankara also back opposing sides in the civil wars in Libya and Syria. Russia has a military base in Armenia and a mutual defence pact with the country, though that does not cover the disputed territory.Both Moscow and Paris have accused Erdogan of sending mercenary fighters from Syria to Azerbaijan, but Baku has denied that any ""irregular forces"" are assisting its troops.French President Emmanuel Macron said his country had evidence that Syrian jihadists had travelled from the Turkish city of Gaziantep, close to the Syrian border, to fight in Nagorno-Karabakh.";E
